Scheduled time,Updated time,Arrival city,Airline,Flight number,Gate,Status,Distance,Price,,,,,,,,,,,,,
9:40 AM,9:40 AM,Kansas City,Southwest,931,C14,BOARDING,967,193.40,,,,,,,,,,,,,
2:55 PM,2:55 PM,Kansas City,Southwest,1622,B6,ON TIME,967,193.40,,,,,,,,,,,,,
9:10 PM,9:10 PM,Kansas City,Southwest,2597,A15,ON TIME,967,193.40,,,,,,,,,,,,,
12:27 PM,12:27 PM,Las Vegas,Spirit Airlines,1179,D12,ON TIME,2106,421.20,,,,,,,,,,,,,
3:45 PM,3:45 PM,Las Vegas,Southwest,3976,C10,ON TIME,2106,421.20,,,,,,,,,,,,,
8:40 PM,8:40 PM,Las Vegas,Southwest,1132,B9,ON TIME,2106,421.20,,,,,,,,,,,,,
9:00 PM,9:00 PM,London-Heathrow,British Airways,228,E1,ON TIME,3634,726.80,,,,,,,,,,,,,
8:55 AM,8:54 AM,Los Angeles,United,251,D13,DEPARTED,2329,465.80,,,,,,,,,,,,,
9:59 AM,9:59 AM,Los Angeles,Spirit Airlines,2329,D10,ON TIME,2329,465.80,,,,,,,,,,,,,
2:50 PM,2:50 PM,Los Angeles,Southwest,1426,A10,ON TIME,2329,465.80,,,,,,,,,,,,,
7:28 PM,7:28 PM,Los Angeles,Spirit Airlines,141,,ON TIME,2329,465.80,,,,,,,,,,,,,
8:40 PM,8:40 PM,Los Angeles,Southwest,1164,B4,ON TIME,2329,465.80,,,,,,,,,,,,,
8:30 AM,8:35 AM,Louisville,Southwest,3396,A11,DEPARTED,495,99.00,,,,,,,,,,,,,
3:25 PM,3:25 PM,Louisville,Southwest,1073,A8,ON TIME,495,99.00,,,,,,,,,,,,,
7:30 PM,7:30 PM,Louisville,Southwest,1652,B15,ON TIME,495,99.00,,,,,,,,,,,,,
9:30 AM,9:30 AM,Macon,Contour Airlines,3102,C2,ON TIME,594,118.80,,,,,,,,,,,,,
5:15 PM,5:15 PM,Macon,Contour Airlines,3104,C2,ON TIME,594,118.80,,,,,,,,,,,,,
8:45 AM,9:17 AM,Manchester,Southwest,439,C9,ON TIME,377,75.40,,,,,,,,,,,,,
11:00 AM,11:00 AM,Manchester,Southwest,2758,A12,ON TIME,377,75.40,,,,,,,,,,,,,
